FullDate,Service_ID,KPI_ID,Value
12/05/2024,Service_ID50,KPI_1,0.50
13/05/2024,Service_ID50,KPI_1,0.72
14/05/2024,Service_ID50,KPI_1,0.77
15/05/2024,Service_ID50,KPI_1,0.63
01/04/2024,Service_ID51,KPI_1,4.50
09/04/2024,Service_ID51,KPI_1,0.50
16/04/2024,Service_ID51,KPI_1,2.50
17/04/2024,Service_ID51,KPI_1,1.50
18/04/2024,Service_ID51,KPI_1,0.50
22/04/2024,Service_ID51,KPI_1,0.50
23/04/2024,Service_ID51,KPI_1,0.50
24/04/2024,Service_ID51,KPI_1,0.50
25/04/2024,Service_ID51,KPI_1,0.50
26/04/2024,Service_ID51,KPI_1,0.50
29/04/2024,Service_ID51,KPI_1,0.50
30/04/2024,Service_ID51,KPI_1,2.50
02/05/2024,Service_ID51,KPI_1,1.50
06/05/2024,Service_ID51,KPI_1,0.50
07/05/2024,Service_ID51,KPI_1,0.50
08/05/2024,Service_ID51,KPI_1,2.75
09/05/2024,Service_ID51,KPI_1,1.50
10/05/2024,Service_ID51,KPI_1,1.83
11/05/2024,Service_ID51,KPI_1,0.50
13/05/2024,Service_ID51,KPI_1,0.50
14/05/2024,Service_ID51,KPI_1,0.50
15/05/2024,Service_ID51,KPI_1,0.50
15/04/2024,Service_ID52,KPI_1,0.50
18/04/2024,Service_ID52,KPI_1,0.50
23/04/2024,Service_ID52,KPI_1,1.50
26/04/2024,Service_ID52,KPI_1,0.50
28/04/2024,Service_ID52,KPI_1,0.50
30/04/2024,Service_ID52,KPI_1,0.50
06/05/2024,Service_ID52,KPI_1,0.50
08/05/2024,Service_ID52,KPI_1,0.50
09/05/2024,Service_ID52,KPI_1,0.50
13/05/2024,Service_ID52,KPI_1,1.00
14/05/2024,Service_ID52,KPI_1,0.50
18/04/2024,Service_ID53,KPI_1,4.50
23/04/2024,Service_ID53,KPI_1,0.50
27/04/2024,Service_ID53,KPI_1,0.50
29/04/2024,Service_ID53,KPI_1,0.50
10/05/2024,Service_ID53,KPI_1,0.50
14/05/2024,Service_ID53,KPI_1,0.50
14/05/2024,Service_ID54,KPI_1,0.50
15/04/2024,Service_ID55,KPI_1,0.50
16/04/2024,Service_ID55,KPI_1,0.50
24/04/2024,Service_ID55,KPI_1,0.50
26/04/2024,Service_ID55,KPI_1,0.50
04/04/2024,Service_ID56,KPI_1,0.50
16/04/2024,Service_ID56,KPI_1,0.50
22/04/2024,Service_ID56,KPI_1,1.50
15/05/2024,Service_ID57,KPI_1,0.50
03/04/2024,Service_ID58,KPI_1,0.50
16/04/2024,Service_ID58,KPI_1,0.50
18/04/2024,Service_ID58,KPI_1,0.50
19/04/2024,Service_ID58,KPI_1,0.50
20/04/2024,Service_ID58,KPI_1,0.50
22/04/2024,Service_ID58,KPI_1,0.50
23/04/2024,Service_ID58,KPI_1,0.61
